Menu,Category,괄호
고기튀김,한식,['(gogi twigim)']
관자튀김,한식,['(gwanja twigim)']
굴매생이부침개,한식,['(gul maesaengi buchimgae)']
굴부침개,한식,['(gul buchimgae)']
감자부침,한식,['(gamja buchim)']
고추부각,한식,['(gochu bugak)']
곤드레부침,한식,['(gondeure buchim)']
계적,한식,['(gyejeok)']
감자메밀부침,한식,['(gamja memil buchim)']
감자적,한식,['(gamja jeok)']
갈치튀김,한식,['(galchi twigim)']
가자미전,한식,['(gajami jeon)']
곤드레전,한식,['(gondeure jeon)']
고추전,한식,['(gochu jeon)']
가자한우물회,한식,['(Gaja Hanu Mulhoe)']
갑오징어회,한식,['(gabojingeohoe)']
가리비회,한식,['(garibi hoe)']
가물치회,한식,['(gamulchi hoe)']
가자미회,한식,['(gajami hoe)']
갈치회,한식,['(galchi hoe)']
갓돔회,한식,['(gatdom hoe)']
광어회,한식,['(gwangeo hoe)']
굴물회,한식,['(gul mulhoe)']
굴회,한식,['(gul hoe)']
꿩육회,한식,['(kkwong yukhoe)']
개불,한식,['(gaebul)']
가자미물회,한식,['(gajami mulhoe)']
가자미세꼬시,한식,['(gajami sekkosi)']
가자미전복물회,한식,['(gajami jeonbok mulhoe)']
꽃새우회,한식,['(kkotsaeu hoe)']
광어물회,한식,['(gwangeo mulhoe)']
갓김치,한식,['(gat kimchi)']
개성보쌈김치,한식,['(Gaeseong bossam kimchi)']
고들빼기김치,한식,['(godeulppaegi kimchi)']
김치,한식,['(kimchi)']
겉절이,한식,['(geotjeori)']
깍두기,한식,['(kkakdugi)']
김치말이,한식,['(kimchi mari)']
가지김치,한식,['(gaji kimchi)']
간장겉절이,한식,['(ganjang geotjeori)']
깻잎김치,한식,['(kkaennip kimchi)']
곶감배추김치,한식,['(gotgam baechu kimchi)']
계절겉절이,한식,['(gyejeol geotjeori)']
게장,한식,['(gejang)']
간장게장,한식,['(ganjang gejang)']
꽃게장,한식,['(kkotgejang)']
꽃게양념장,한식,['(kkotge yangnyeomjang)']
강된장,한식,['(gangdoenjang)']
고추장,한식,['(gochujang)']
고추다대기,한식,['(gochu dadaegi)']
간장,한식,['(ganjang)']
고추잎장아찌,한식,['(gochunnip jangajji)']
가지장아찌,한식,['(gaji jangajji)']
감 된장장아찌,한식,['(gam doenjang jangajji)']
깻묵장,한식,['(kkaenmukjang)']
감장아찌,한식,['(gam jangajji)']
고추장아찌,한식,['(gochu jangajji)']
꽃게간장게장,한식,['(kkotge ganjang gejang)']
간장새우장,한식,['(ganjang saeu jang)']
